FirstLast,Last,First,MidInit,MidName,Year,YearsPlayed
John Helms,Helms,John,E.,3rd,1948,1
Charles Ritchie,Ritchie,Charles,L., Jr,1947,2
James Boyle,Boyle,James,T., Jr,1947,1
Henry Ewald,Ewald,Henry,T., Jr,1947,1
C. Wesley Kittleman,Kittleman,C. Wesley,, Jr,1947,1
Robert Sutton,Sutton,Robert,J.,,1947,1
Jack Geller,Geller,Jack,,,1947,3
Miles Suchin,Suchin,Miles,B.,,1947,2
George Bell,Bell,George,deB.,,1947,2
Carleton Badger,Badger,Carleton,M.,,1947,3
William Ylvisaker,Ylvisaker,William,T.,,1947,2
Alexander Murray,Murray,Alexander, 3rd,,1947,1
Charles Clark,Clark,Charles,H.,,1947,2
Victor Kiam,Kiam,Victor,K.,,1947,1
