FirstLast,Year,YearsPlayed,Gender,fuzz_ratio,fuzz_pratio,fuzz_tokensort,fuzz_tokenset,fuzz_wratio,tennis_yn,School_yn,SameName_yn,SameTennis_yn,Decade,prediction
Tina Jiang,2017,2,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Carol Finke,2017,3,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Caroline Lynch,2017,4,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2010,1.0
Sunday Swett,2018,4,0,77.0,67.0,77.0,100.0,86.0,1.0,1.0,0.0,1.0,2010,1.0
Valerie Shklover,2018,4,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Elizabeth Zordani,2018,4,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Amy Yang,2019,4,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Caroline Amos,2019,4,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2010,1.0
Caroline Dunleavy,2020,2,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2020,1.0
Sarah Cameron,2020,3,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2020,1.0
Jessie Gong,2020,2,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2020,1.0
Lauren Gillinov,2020,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2020,1.0
Vivian Cheng,2020,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2020,1.0
Rena Lin,2020,1,0,50.0,67.0,40.0,40.0,60.0,0.0,0.0,0.0,0.0,2020,0.0
Chelsea Kung,2020,1,0,27.0,33.0,20.0,20.0,33.0,0.0,0.0,0.0,0.0,2020,0.0
Kathy Wang,2020,2,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2020,1.0
