FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Stephanie Lowell, Yale,Stephanie Lowell,1993,1,,,,,Yale University,Stephanie,W,Lowell,,,,
Caroline Johnston, Yale,Caroline Johnston,1993,3,,,,,Yale University,Caroline,W,Johnston,,,,
Emily Bazelon, Yale,Emily Bazelon,1993,1,,,,,Yale University,Emily,W,Bazelon,,,,
Adrienne Amato, Yale,Adrienne Amato,1993,3,,,,,Yale University,Adrienne,W,Amato,,,,
Kari Weiner, Yale,Kari Weiner,1993,3,,,,,Yale University,Kari,W,Weiner,,,,
Michele Saba, Yale,Michele Saba,1993,2,,,,,Yale University,Michele,W,Saba,,,,
Allissa Hamilton, Yale,Allissa Hamilton,1994,1,,,,,Yale University,Allissa,W,Hamilton,,,,
Nina Bertsch, Yale,Nina Bertsch,1994,2,,,,,Yale University,Nina,W,Bertsch,,,,
Taryn Reitzel, Yale,Taryn Reitzel,1994,2,,,,,Yale University,Taryn,W,Reitzel,,,,
Georgia Levenson, Yale,Georgia Levenson,1994,3,,,,,Yale University,Georgia,W,Levenson,,,,
Sandy Kim, Yale,Sandy Kim,1994,1,,,,,Yale University,Sandy,W,Kim,,,,
Audrey Delaney, Yale,Audrey Delaney,1994,3,,,,,Yale University,Audrey,W,Delaney,,,,
Alexandra Dell, Yale,Alexandra Dell,1994,3,,,,,Yale University,Alexandra,W,Dell,,,,
Lee Ann Denley, Yale,Lee Ann Denley,1994,1,,,,,Yale University,Lee Ann,W,Denley,,,,
Kristina Dell, Yale,Kristina Dell,1994,3,,,,,Yale University,Kristina,W,Dell,,,,
Cindy Kuragami, Yale,Cindy Kuragami,1995,3,,,,,Yale University,Cindy,W,Kuragami,,,,
Ngozi Okorafor, Yale,Ngozi Okorafor,1995,3,,,,,Yale University,Ngozi,W,Okorafor,,,,
Lisa Barna, Yale,Lisa Barna,1996,2,,,,,Yale University,Lisa,W,Barna,,,,
Heath Friedman, Yale,Heath Friedman,1996,2,,,,,Yale University,Heath,W,Friedman,,,,
Atara Stember, Yale,Atara Stember,1997,1,,,,,Yale University,Atara,W,Stember,,,,
Tina Ansari, Yale,Tina Ansari,1997,1,,,,,Yale University,Tina,W,Ansari,,,,
