FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Dennis Lynch, Yale,Dennis Lynch,1964,3,,,,,Yale University,Dennis,M,Lynch,P.,,,
Kent Nelson, Yale,Kent Nelson,1965,2,,,,,Yale University,Kent,M,Nelson,S.,,,
Christopher Kinney, Yale,Christopher Kinney,1965,2,,,,,Yale University,Christopher,M,Kinney,F.,,,
Peter Southard, Yale,Peter Southard,1965,1,,,,,Yale University,Peter,M,Southard,C.,,,
Peter Appleton, Yale,Peter Appleton,1965,2,,,,,Yale University,Peter,M,Appleton,B.,,,
Robert Dunlop, Yale,Robert Dunlop,1965,3,,,,,Yale University,Robert,M,Dunlop,H.,3rd,,
Hamlet Barry, Yale,Hamlet Barry,1966,2,,,,,Yale University,Hamlet,M,Barry,J.,,,
Donald Mcauslan, Yale,Donald Mcauslan,1966,2,,,,,Yale University,Donald,M,Mcauslan,L.,,,
William Tucker, Yale,William Tucker,1966,1,,,,,Yale University,William,M,Tucker,C.,,,
John Westcott, Yale,John Westcott,1966,3,,,,,Yale University,John,M,Westcott,McM., Jr,,
Jerome Glenn, Yale,Jerome Glenn,1967,1,,,,,Yale University,Jerome,M,Glenn,L.,,,
Michael Brooks, Yale,Michael Brooks,1967,3,,,,,Yale University,Michael,M,Brooks,C.,,,
Richard Fates, Yale,Richard Fates,1967,3,,,,,Yale University,Richard,M,Fates,J.,,,
J. Michael Ladd, Yale,J. Michael Ladd,1967,1,,,,,Yale University,J. Michael,M,Ladd,,,,
Jack Waltz, Yale,Jack Waltz,1967,3,,,,,Yale University,Jack,M,Waltz,R.,,,
Henry Rosen, Yale,Henry Rosen,1968,1,,,,,Yale University,Henry,M,Rosen,,,,
William Keeton, Yale,William Keeton,1968,3,,,,,Yale University,William,M,Keeton,R.,,,
John Anderson, Yale,John Anderson,1968,3,,,,,Yale University,John,M,Anderson,G.,,,
Jeffrey Westcott, Yale,Jeffrey Westcott,1968,3,,,,,Yale University,Jeffrey,M,Westcott,B.,,,
Steven Orthwein, Yale,Steven Orthwein,1968,3,,,,,Yale University,Steven,M,Orthwein,A.,,,
Robert Haar, Yale,Robert Haar,1968,3,,,,,Yale University,Robert,M,Haar,A.,,,
Robert Mccallum, Yale,Robert Mccallum,1968,3,,,,,Yale University,Robert,M,Mccallum,D., Jr,,
Michael Mueller, Yale,Michael Mueller,1969,2,,,,,Yale University,Michael,M,Mueller,E.,,,
Jerome Gary, Yale,Jerome Gary,1969,2,,,,,Yale University,Jerome,M,Gary,S.D.,,,
Paul Henry, Yale,Paul Henry,1969,1,,,,,Yale University,Paul,M,Henry,W.,,,
Richard Breitman, Yale,Richard Breitman,1969,2,,,,,Yale University,Richard,M,Breitman,D.,,,
Frederick London, Yale,Frederick London,1969,2,,,,,Yale University,Frederick,M,London,S.,,,
Marshall Taylor, Yale,Marshall Taylor,1969,1,,,,,Yale University,Marshall,M,Taylor,M.,,,
David Ketner, Yale,David Ketner,1969,1,,,,,Yale University,David,M,Ketner,S.,,,
Lathrop Gates, Yale,Lathrop Gates,1969,2,,,,,Yale University,Lathrop,M,Gates,M.,,,
Alexander Tan, Yale,Alexander Tan,1969,1,,,,,Yale University,Alexander,M,Tan,P.,,,
Mark Kaplanoff, Yale,Mark Kaplanoff,1970,2,,,,,Yale University,Mark,M,Kaplanoff,D.,,,
Peter Heydemann, Yale,Peter Heydemann,1970,3,,,,,Yale University,Peter,M,Heydemann,T.,,,
Peter MacPartland, Yale,Peter MacPartland,1970,3,,,,,Yale University,Peter,M,MacPartland,J.,,,
Ronald Netter, Yale,Ronald Netter,1970,2,,,,,Yale University,Ronald,M,Netter,A.,,,
Philip Svigals, Yale,Philip Svigals,1971,3,,,,,Yale University,Philip,M,Svigals,B.,,,
John Tansey, Yale,John Tansey,1971,3,,,,,Yale University,John,M,Tansey,D.,,,
Wick Chambers, Yale,Wick Chambers,1971,2,,,,,Yale University,Wick,M,Chambers,R.,,,
Andrew Pachner, Yale,Andrew Pachner,1971,2,,,,,Yale University,Andrew,M,Pachner,R.,,,
James Harvie, Yale,James Harvie,1971,1,,,,,Yale University,James,M,Harvie,B.,,,
James Latting, Yale,James Latting,1971,2,,,,,Yale University,James,M,Latting,T.,,,
Scott Osborne, Yale,Scott Osborne,1971,2,,,,,Yale University,Scott,M,Osborne,B.,,,
Brian Mitchell, Yale,Brian Mitchell,1972,3,,,,,Yale University,Brian,M,Mitchell,P.,,,
Peter Lawler, Yale,Peter Lawler,1972,2,,,,,Yale University,Peter,M,Lawler,C.,,,
William Cleveland, Yale,William Cleveland,1972,3,,,,,Yale University,William,M,Cleveland,C.,,,
Neil Allen, Yale,Neil Allen,1972,3,,,,,Yale University,Neil,M,Allen,A.,,,
Hayden Kirk, Yale,Hayden Kirk,1973,1,,,,,Yale University,Hayden,M,Kirk,S.,,,
Philip St. Georges, Yale,Philip St. Georges,1973,2,,,,,Yale University,Philip,M,St. Georges,M.,,,
Henry Anderson, Yale,Henry Anderson,1973,3,,,,,Yale University,Henry,M,Anderson,M.,,,
William Gaines, Yale,William Gaines,1973,3,,,,,Yale University,William,M,Gaines,L.,,,
Kevin Bradley, Yale,Kevin Bradley,1974,1,,,,,Yale University,Kevin,M,Bradley,P.,,,
Daniel Grossman, Yale,Daniel Grossman,1974,3,,,,,Yale University,Daniel,M,Grossman,L.,,,
David Mielke, Yale,David Mielke,1974,2,,,,,Yale University,David,M,Mielke,C.,,,
Jeffrey Wilday, Yale,Jeffrey Wilday,1974,2,,,,,Yale University,Jeffrey,M,Wilday,M.,,,
William Banner, Yale,William Banner,1974,1,,,,,Yale University,William,M,Banner,P.,,,
Thomas Cunningham, Yale,Thomas Cunningham,1974,1,,,,,Yale University,Thomas,M,Cunningham,R.,,,
Paul Bartel, Yale,Paul Bartel,1975,2,,,,,Yale University,Paul,M,Bartel,W.,,,
John Shostrum, Yale,John Shostrum,1975,3,,,,,Yale University,John,M,Shostrum,M.,,,
Hugo Black, Yale,Hugo Black,1975,1,,,,,Yale University,Hugo,M,Black,L.,,,
Christopher Swenson, Yale,Christopher Swenson,1975,4,,,,,Yale University,Christopher,M,Swenson,B.,,,
Reuben Holden, Yale,Reuben Holden,1976,1,,,,,Yale University,Reuben,M,Holden,A.,5th,,
Jonathan Thomas, Yale,Jonathan Thomas,1976,4,,,,,Yale University,Jonathan,M,Thomas,Y.,,,
Christopher Williams, Yale,Christopher Williams,1976,4,,,,,Yale University,Christopher,M,Williams,,,,
William Feltus, Yale,William Feltus,1976,2,,,,,Yale University,William,M,Feltus,J.,,,
Luis Acosta, Yale,Luis Acosta,1976,3,,,,,Yale University,Luis,M,Acosta,M.,,,
Steven Cremer, Yale,Steven Cremer,1976,1,,,,,Yale University,Steven,M,Cremer,A.,,,
Derrick Niederman, Yale,Derrick Niederman,1976,3,,,,,Yale University,Derrick,M,Niederman,C.,,,
John Schotz, Yale,John Schotz,1977,1,,,,,Yale University,John,M,Schotz,P.,,,
Sverre Munck, Yale,Sverre Munck,1977,1,,,,,Yale University,Sverre,M,Munck,C.,,,
Matthew Doyle, Yale,Matthew Doyle,1978,1,,,,,Yale University,Matthew,M,Doyle,N.,,,
Jack Cobetto, Yale,Jack Cobetto,1978,1,,,,,Yale University,Jack,M,Cobetto,B.,,,
Richard Lumsden, Yale,Richard Lumsden,1978,1,,,,,Yale University,Richard,M,Lumsden,J.,,,
James Kaufman, Yale,James Kaufman,1978,4,,,,,Yale University,James,M,Kaufman,H.,,,
Barnaby Starr, Yale,Barnaby Starr,1978,1,,,,,Yale University,Barnaby,M,Starr,F.,,,
Geoffrey Tabin, Yale,Geoffrey Tabin,1978,3,,,,,Yale University,Geoffrey,M,Tabin,C.,,,
Gregory Kim, Yale,Gregory Kim,1979,1,,,,,Yale University,Gregory,M,Kim,R.,,,
Bradley Dressler, Yale,Bradley Dressler,1979,3,,,,,Yale University,Bradley,M,Dressler,P.,,,
Eric Sorscher, Yale,Eric Sorscher,1979,1,,,,,Yale University,Eric,M,Sorscher,J.,,,
Laurence Leeds, Yale,Laurence Leeds,1979,2,,,,,Yale University,Laurence,M,Leeds,C.,“Cary”,,
Willis Hulings, Yale,Willis Hulings,1980,1,,,,,Yale University,Willis,M,Hulings,J.,,,
Hal Freeman, Yale,Hal Freeman,1980,1,,,,,Yale University,Hal,M,Freeman,,,,
Dale De La Torre, Yale,Dale De La Torre,1980,1,,,,,Yale University,Dale,M,De La Torre,R.,,,
William Brady, Yale,William Brady,1980,3,,,,,Yale University,William,M,Brady,F.,3rd,,
David Huskey, Yale,David Huskey,1980,1,,,,,Yale University,David,M,Huskey,K.,,,
William Kerr, Yale,William Kerr,1980,1,,,,,Yale University,William,M,Kerr,O.,,,
Todd Hillman, Yale,Todd Hillman,1980,2,,,,,Yale University,Todd,M,Hillman,H.,,,
Elliot Peters, Yale,Elliot Peters,1980,1,,,,,Yale University,Elliot,M,Peters,R.,,,
Andrew Fleming, Yale,Andrew Fleming,1980,2,,,,,Yale University,Andrew,M,Fleming,T.,,,
James Chud, Yale,James Chud,1980,1,,,,,Yale University,James,M,Chud,,,,
William Laffer, Yale,William Laffer,1980,1,,,,,Yale University,William,M,Laffer,G.,,,
Thomas Simcik, Yale,Thomas Simcik,1981,3,,,,,Yale University,Thomas,M,Simcik,J.,,,
Douglas Kelly, Yale,Douglas Kelly,1981,1,,,,,Yale University,Douglas,M,Kelly,J.,,,
Michael Sicular, Yale,Michael Sicular,1981,1,,,,,Yale University,Michael,M,Sicular,J.,,,
Steven Sorscher, Yale,Steven Sorscher,1981,1,,,,,Yale University,Steven,M,Sorscher,M.,,,
John Stiepel, Yale,John Stiepel,1981,4,,,,,Yale University,John,M,Stiepel,F.,,,
Stewart Hudson, Yale,Stewart Hudson,1981,3,,,,,Yale University,Stewart,M,Hudson,J.,,,
Keith Rudman, Yale,Keith Rudman,1981,3,,,,,Yale University,Keith,M,Rudman,M.,,,
Malcolm Whitman, Yale,Malcolm Whitman,1981,1,,,,,Yale University,Malcolm,M,Whitman,R.,,,
Steven Epstein, Yale,Steven Epstein,1981,2,,,,,Yale University,Steven,M,Epstein,A.,,,
Edward Lazarus, Yale,Edward Lazarus,1981,2,,,,,Yale University,Edward,M,Lazarus,P.,,,
Francis Steel, Yale,Francis Steel,1981,2,,,,,Yale University,Francis,M,Steel,P.,,,
Robert Gould, Yale,Robert Gould,1981,2,,,,,Yale University,Robert,M,Gould,R.,,,
William Raszka, Yale,William Raszka,1981,1,,,,,Yale University,William,M,Raszka,V.,,,
Lewis Chodish, Yale,Lewis Chodish,1981,2,,,,,Yale University,Lewis,M,Chodish,A.,,,
James Murphy, Yale,James Murphy,1981,1,,,,,Yale University,James,M,Murphy,A.,,,
Michael Sircular, Yale,Michael Sircular,1981,1,,,,,Yale University,Michael,M,Sircular,J.,,,
James Broder, Yale,James Broder,1981,1,,,,,Yale University,James,M,Broder,S.,,,
David Gerger, Yale,David Gerger,1982,1,,,,,Yale University,David,M,Gerger,B.,,,
Hunter Reisner, Yale,Hunter Reisner,1982,1,,,,,Yale University,Hunter,M,Reisner,S.,,,
Clare Draper, Yale,Clare Draper,1982,3,,,,,Yale University,Clare,M,Draper,H.,4th,,
William McAfee, Yale,William McAfee,1982,2,,,,,Yale University,William,M,McAfee,A.,,,
Alberto Franco, Yale,Alberto Franco,1982,4,,,,,Yale University,Alberto,M,Franco,,,,
Mark Tenhundfeld, Yale,Mark Tenhundfeld,1982,2,,,,,Yale University,Mark,M,Tenhundfeld,J.,,,
David Labriola, Yale,David Labriola,1982,2,,,,,Yale University,David,M,Labriola,K.,,,
Stephen Prothero, Yale,Stephen Prothero,1982,2,,,,,Yale University,Stephen,M,Prothero,R.,,,
Harold Wrobel, Yale,Harold Wrobel,1982,2,,,,,Yale University,Harold,M,Wrobel,S.,,,
Steven Zuckerman, Yale,Steven Zuckerman,1982,2,,,,,Yale University,Steven,M,Zuckerman,A.,,,
Mercer Bullard, Yale,Mercer Bullard,1983,1,,,,,Yale University,Mercer,M,Bullard,E.,,,
David Jordan, Yale,David Jordan,1983,1,,,,,Yale University,David,M,Jordan,H.,,,
Michael Cavallon, Yale,Michael Cavallon,1983,2,,,,,Yale University,Michael,M,Cavallon,F.,,,
Charles Neuhaus, Yale,Charles Neuhaus,1983,2,,,,,Yale University,Charles,M,Neuhaus,E.,,,
Richard Crews, Yale,Richard Crews,1983,2,,,,,Yale University,Richard,M,Crews,C.,,,
Neil Solomon, Yale,Neil Solomon,1983,2,,,,,Yale University,Neil,M,Solomon,A.,,,
Glenn Layendecker, Yale,Glenn Layendecker,1983,4,,,,,Yale University,Glenn,M,Layendecker,W.,,,
Michael Reynal, Yale,Michael Reynal,1983,4,,,,,Yale University,Michael,M,Reynal,A.,,,
Martin Wostenholme, Yale,Martin Wostenholme,1984,4,,,,,Yale University,Martin,M,Wostenholme,C.,,,
Robert Crates, Yale,Robert Crates,1984,1,,,,,Yale University,Robert,M,Crates,B.,,,
Paul Stoffel, Yale,Paul Stoffel,1984,2,,,,,Yale University,Paul,M,Stoffel,B.,,,
