FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Dan Brous, Cornell,Dan Brous,2007,4,,"Melville, N.Y.",Bellmore JFK HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Dan,M,Brous,,,Dan Brous,"[""2003-04 Men's Tennis Roster"" ""2004-05 Men's Tennis Roster""
 ""2005-06 Men's Tennis Roster"" ""2006-07 Men's Tennis Roster""]"
Dan Evett, Cornell,Dan Evett,1961,1,,"Ithaca, NY",Ithaca HS,['Sophomore'],Cornell University,Dan,M,Evett,H.,,Dan H. Evett,"[""1960-61 Men's Tennis Roster""]"
Daniel Grunberger, Cornell,Daniel Grunberger,2018,2,https://cornellbigred.com/sports/mens-tennis/roster/daniel-grunberger/45226,"Great Neck, N.Y.",Great Neck South HS (Columbia),['Junior' 'Senior'],Cornell University,Daniel,M,Grunberger,,,Daniel Grunberger,"[""2016-17 Men's Tennis Roster"" ""2017-18 Men's Tennis Roster""]"
Daniel Soyfer, Cornell,Daniel Soyfer,2020,2,https://cornellbigred.com/sports/mens-tennis/roster/daniel-soyfer/52663,"Plantation, Fla.",International Connections Academy (Wisconsin),['Junior' 'Senior'],Cornell University,Daniel,M,Soyfer,,,Daniel Soyfer,"[""2018-19 Men's Tennis Roster"" ""2019-20 Men's Tennis Roster""]"
Danny Riggs, Cornell,Danny Riggs,2012,1,https://cornellbigred.com/sports/mens-tennis/roster/danny-riggs/23760,"Pompano Beach, Fla.",Pompano Beach HS,['Freshman'],Cornell University,Danny,M,Riggs,,,Danny Riggs,"[""2011-12 Men's Tennis Roster""]"
David Browne, Cornell,David Browne,1964,1,,"Ithaca, NY",Ithaca HS,['Junior'],Cornell University,David,M,Browne,A.,,David A. Browne,"[""1963-64 Men's Tennis Roster""]"
David Potter, Cornell,David Potter,1947,1,,"E. Rochester, NY",E. Rochester,['Junior'],Cornell University,David,M,Potter,F.,,David F. Potter,"[""1946-47 Men's Tennis Roster""]"
David Oshinky, Cornell,David Oshinky,1963,1,,"Rego Park, NY",Forest Hills HS,['Sophomore'],Cornell University,David,M,Oshinky,M.,,David M. Oshinky,"[""1962-63 Men's Tennis Roster""]"
David Volfson, Cornell,David Volfson,2019,4,https://cornellbigred.com/sports/mens-tennis/roster/david-volfson/48703,"Thornhill, Ontario",Thornhill Secondary,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,David,M,Volfson,,,David Volfson,"[""2015-16 Men's Tennis Roster"" ""2016-17 Men's Tennis Roster""
 ""2017-18 Men's Tennis Roster"" ""2018-19 Men's Tennis Roster""]"
DeLee Minner, Cornell,DeLee Minner,1955,2,,"Denver, Colo.",East HS,['Sophomore' 'Junior'],Cornell University,DeLee,M,Minner,,,DeLee Minner,"[""1953-1954 Men's Tennis Roster"" ""1954-55 Men's Tennis Roster""]"
Denton Ho, Cornell,Denton Ho,2020,3,https://cornellbigred.com/sports/mens-tennis/roster/denton-ho/52657,"Hong Kong, China",Diocesan Boys School,['Freshman' 'Sophomore' 'Junior'],Cornell University,Denton,M,Ho,,,Denton Ho,"[""2017-18 Men's Tennis Roster"" ""2018-19 Men's Tennis Roster""
 ""2019-20 Men's Tennis Roster""]"
Donald Iglehart, Cornell,Donald Iglehart,1955,3,,"Wauwatosa, Wis.",Wauwatosa HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Donald,M,Iglehart,L.,,Donald L. Iglehart,"[""1952-53 Men's Tennis Roster"" ""1953-1954 Men's Tennis Roster""
 ""1954-55 Men's Tennis Roster""]"
Donald Arnaud, Cornell,Donald Arnaud,1956,3,,"Hempstead, NY",Hempstead HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Donald,M,Arnaud,M.,,Donald M. Arnaud,"[""1953-1954 Men's Tennis Roster"" ""1954-55 Men's Tennis Roster""
 ""1955-56 Men's Tennis Roster""]"
Donald Greenberg, Cornell,Donald Greenberg,1955,3,,"Woodmere, NY.",Woodmere HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Donald,M,Greenberg,P.,,Donald P. Greenberg,"[""1952-53 Men's Tennis Roster"" ""1953-1954 Men's Tennis Roster""
 ""1954-55 Men's Tennis Roster""]"
Donald Rubell, Cornell,Donald Rubell,1961,3,,"Brooklyn, NY",Wingate HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Donald,M,Rubell,,,Donald Rubell,"[""1958-59 Men's Tennis Roster"" ""1959-60 Men's Tennis Roster""
 ""1960-61 Men's Tennis Roster""]"
Dragos Dima, Cornell,Dragos Dima,2013,1,https://cornellbigred.com/sports/mens-tennis/roster/dragos-dima/32673,"Ploiesti, Romania",Jean Monnet HS,['Freshman'],Cornell University,Dragos,M,Dima,,,Dragos Dima,"[""2012-13 Men's Tennis Roster""]"
Dylan Brown, Cornell,Dylan Brown,2017,4,https://cornellbigred.com/sports/mens-tennis/roster/dylan-brown/43467,"Camarillo, Calif.",Laurel Springs HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Dylan,M,Brown,,,Dylan Brown,"[""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""
 ""2015-16 Men's Tennis Roster"" ""2016-17 Men's Tennis Roster""]"
Edward Gilbert, Cornell,Edward Gilbert,1947,1,,"Huntington, N.Y.",Horace Mann HS,['Sophomore'],Cornell University,Edward,M,Gilbert,H.,,Edward H. Gilbert,"[""1946-47 Men's Tennis Roster""]"
