Field4,Field7_Text,Field7_Link,Field1,Field8,Field9,Field11,Field2_Text,Field3_Text
,Christine Ordway,https://cornellbigred.com/sports/womens-tennis/roster/christine-ordway/31348,Senior,"Falmouth, Maine",Waynflete School,2012-13 Women's Tennis Roster,Christine Ordway,
,Sara Perelman,https://cornellbigred.com/sports/womens-tennis/roster/sara-perelman/31349,Sophomore,"Pittsburgh, Pa.",Shady Side Academy,2012-13 Women's Tennis Roster,Sara Perelman,
,Dena Tanenbaum,https://cornellbigred.com/sports/womens-tennis/roster/dena-tanenbaum/31715,Freshman,"Manasquan, N.J.",Red Bank Catholic,2012-13 Women's Tennis Roster,Dena Tanenbaum,
,Ryann Young,https://cornellbigred.com/sports/womens-tennis/roster/ryann-young/31351,Junior,"Northbrook, Ill.","St. Stephen's Episcopal School (Austin, Texas)",2012-13 Women's Tennis Roster,Ryann Young,
,Lauren Frazier,https://cornellbigred.com/sports/womens-tennis/roster/lauren-frazier/23783,Freshman,"Greenville, N.C.",Junius H. Rose HS,2011-12 Women's Tennis Roster,Lauren Frazier,
,Kirsten Kohagen,https://cornellbigred.com/sports/womens-tennis/roster/kirsten-kohagen/23779,Junior,"Raleigh, N.C.",Cary Academy,2011-12 Women's Tennis Roster,Kirsten Kohagen,
,Rosemary Li,https://cornellbigred.com/sports/womens-tennis/roster/rosemary-li/24021,Freshman,"Briarcliff, N.Y.",Horace Greeley HS,2011-12 Women's Tennis Roster,Rosemary Li,
,Courtney Malinchak,https://cornellbigred.com/sports/womens-tennis/roster/courtney-malinchak/23784,Freshman,"Parkland, Fla.",Pine Crest HS,2011-12 Women's Tennis Roster,Courtney Malinchak,
,Lusiné Mehrabyan,https://cornellbigred.com/sports/womens-tennis/roster/lusin-mehrabyan/24370,Sophomore,"Yerevan, Armenia",Ithaca HS,2011-12 Women's Tennis Roster,Lusiné Mehrabyan,
,Sarah O'Neil,https://cornellbigred.com/sports/womens-tennis/roster/sarah-o-neil/23780,Junior,"Lynnfield, Mass.",Lynnfield High School,2011-12 Women's Tennis Roster,Sarah O'Neil,
,Christine Ordway,https://cornellbigred.com/sports/womens-tennis/roster/christine-ordway/23781,Junior,"Falmouth, Maine",Waynflete School,2011-12 Women's Tennis Roster,Christine Ordway,
,Sara Perelman,https://cornellbigred.com/sports/womens-tennis/roster/sara-perelman/23785,Freshman,"Pittsburgh, Pa.",Shady Side Academy,2011-12 Women's Tennis Roster,Sara Perelman,
,Gabby Sullivan,https://cornellbigred.com/sports/womens-tennis/roster/gabby-sullivan/23786,Freshman,"Brooklyn, N.Y.",Poly Prep Country Day School,2011-12 Women's Tennis Roster,Gabby Sullivan,
,Nina Turudic,https://cornellbigred.com/sports/womens-tennis/roster/nina-turudic/23787,Freshman,"Zagreb, Croatia",Zagreb Gymnasium,2011-12 Women's Tennis Roster,Nina Turudic,
,Ryann Young,https://cornellbigred.com/sports/womens-tennis/roster/ryann-young/23782,Sophomore,"Northbrook, Ill.","St. Stephen's Episcopal School (Austin, Texas)",2011-12 Women's Tennis Roster,Ryann Young,
,Sinziana Chis,https://cornellbigred.com/sports/womens-tennis/roster/sinziana-chis/13985,Senior,"Vancouver, B.C.",Sentinel Secondary School,2010-11 Women's Tennis Roster,Sinziana Chis,
,Kelly Comolli,https://cornellbigred.com/sports/womens-tennis/roster/kelly-comolli/14085,Freshman,"Newburyport, Mass.",Philips Exeter Academy,2010-11 Women's Tennis Roster,Kelly Comolli,
,Shannon Comolli,https://cornellbigred.com/sports/womens-tennis/roster/shannon-comolli/14086,Freshman,"Newburyport, Mass.",Philips Exeter Academy,2010-11 Women's Tennis Roster,Shannon Comolli,
,Ruxandra Dumitrescu,https://cornellbigred.com/sports/womens-tennis/roster/ruxandra-dumitrescu/13986,Senior,"Cortland Manor, N.Y.",Hendrick Hudson HS,2010-11 Women's Tennis Roster,Ruxandra Dumitrescu,
,Elizabeth Kaufman,https://cornellbigred.com/sports/womens-tennis/roster/elizabeth-kaufman/14087,Freshman,"Potomac, Md.",Winston Churchill HS,2010-11 Women's Tennis Roster,Elizabeth Kaufman,
,,,Sophomore,"Raleigh, N.C.",Cary Academy,2010-11 Women's Tennis Roster,,Kirsten Kohagen
,Sarah O'Neil,https://cornellbigred.com/sports/womens-tennis/roster/sarah-o-neil/13989,Sophomore,"Lynnfield, Mass.",Lynnfield High School,2010-11 Women's Tennis Roster,Sarah O'Neil,
,,,Sophomore,"Falmouth, Maine",Waynflete School,2010-11 Women's Tennis Roster,,Christine Ordway
,Leah Seyburn,https://cornellbigred.com/sports/womens-tennis/roster/leah-seyburn/13991,Senior,"Roslyn Heights, N.Y.",Roslyn HS,2010-11 Women's Tennis Roster,Leah Seyburn,
,Ryann Young,https://cornellbigred.com/sports/womens-tennis/roster/ryann-young/14088,Freshman,"Northbrook, Ill.","St. Stephen's Episcopal School (Austin, Texas)",2010-11 Women's Tennis Roster,Ryann Young,
,Sinziana Chis,https://cornellbigred.com/sports/womens-tennis/roster/sinziana-chis/11869,Junior,"Vancouver, B.C.",Sentinel Secondary School,2009-10 Women's Tennis Roster,Sinziana Chis,
,Ruxandra Dumitrescu,https://cornellbigred.com/sports/womens-tennis/roster/ruxandra-dumitrescu/11870,Junior,"Cortland Manor, N.Y.",Hendrick Hudson HS,2009-10 Women's Tennis Roster,Ruxandra Dumitrescu,
,,,Freshman,"Raleigh, N.C.",Cary Academy,2009-10 Women's Tennis Roster,,Kirsten Kohagen
,,,Freshman,"Mid-levels, Hong Kong",Hong Kong International Tennis Academy,2009-10 Women's Tennis Roster,,Geraldine Leong
,,,Freshman,"Honolulu, Hawaii",Punahou School,2009-10 Women's Tennis Roster,,Kristin Lim
,,,Freshman,"Lynnfield, Mass.",Lynnfield High School,2009-10 Women's Tennis Roster,,Sarah O'Neil
,,,Freshman,"Falmouth, Maine",Waynflete School,2009-10 Women's Tennis Roster,,Christine Ordway
,Natalia Sanchez,https://cornellbigred.com/sports/womens-tennis/roster/natalia-sanchez/11875,Senior,"Weston, Fla.",Sagemont Upper School,2009-10 Women's Tennis Roster,Natalia Sanchez,
,Leah Seyburn,https://cornellbigred.com/sports/womens-tennis/roster/leah-seyburn/11876,Junior,"Roslyn Heights, N.Y.",Roslyn HS,2009-10 Women's Tennis Roster,Leah Seyburn,
,,,Senior,"St. Louis, Mo.",John Burroughs School,2009-10 Women's Tennis Roster,,Susan Sullivan
,Sinziana Chis,https://cornellbigred.com/sports/womens-tennis/roster/sinziana-chis/10741,Sophomore,"Vancouver, B.C.",Sentinel Secondary School,2008-09 Women's Tennis Roster,Sinziana Chis,
,Catherine Duboc,https://cornellbigred.com/sports/womens-tennis/roster/catherine-duboc/10743,Senior,"Cherry Hills, Colo.",Kent Denver Upper School,2008-09 Women's Tennis Roster,Catherine Duboc,
,Ruxandra Dumitrescu,https://cornellbigred.com/sports/womens-tennis/roster/ruxandra-dumitrescu/10744,Sophomore,"Cortland Manor, N.Y.",Hendrick Hudson HS,2008-09 Women's Tennis Roster,Ruxandra Dumitrescu,
,Elizabeth Googe,https://cornellbigred.com/sports/womens-tennis/roster/elizabeth-googe/10746,Senior,"Knoxville, Tenn.",Webb School of Knoxville,2008-09 Women's Tennis Roster,Elizabeth Googe,
,Stephanie Kent,https://cornellbigred.com/sports/womens-tennis/roster/stephanie-kent/10753,Freshman,"Groton, N.Y.",Saddlebrook Prep,2008-09 Women's Tennis Roster,Stephanie Kent,
,Julia Loomis,https://cornellbigred.com/sports/womens-tennis/roster/julia-loomis/10754,Freshman,"Niskayuna, N.Y.",Niskayuna HS,2008-09 Women's Tennis Roster,Julia Loomis,
,Shayna Miller,https://cornellbigred.com/sports/womens-tennis/roster/shayna-miller/10748,Senior,"Pittsburgh, Pa.",Upper St. Clair HS,2008-09 Women's Tennis Roster,Shayna Miller,
,Natalia Sanchez,https://cornellbigred.com/sports/womens-tennis/roster/natalia-sanchez/10751,Junior,"Weston, Fla.",Sagemont Upper School,2008-09 Women's Tennis Roster,Natalia Sanchez,
,Leah Seyburn,https://cornellbigred.com/sports/womens-tennis/roster/leah-seyburn/10756,Sophomore,"Roslyn Heights, N.Y.",Roslyn HS,2008-09 Women's Tennis Roster,Leah Seyburn,
,Sinziana Chis,https://cornellbigred.com/sports/womens-tennis/roster/sinziana-chis/5437,Freshman,"Vancouver, B.C.",Sentinel Secondary School,2007-08 Women's Tennis Roster,Sinziana Chis,
,Dana Cruite,https://cornellbigred.com/sports/womens-tennis/roster/dana-cruite/5408,Senior,"Punta Gorda, Fla.",Charlotte HS,2007-08 Women's Tennis Roster,Dana Cruite,
,Catherine Duboc,https://cornellbigred.com/sports/womens-tennis/roster/catherine-duboc/5403,Junior,"Cherry Hills, Colo.",Kent Denver Upper School,2007-08 Women's Tennis Roster,Catherine Duboc,
,Ruxandra Dumitrescu,https://cornellbigred.com/sports/womens-tennis/roster/ruxandra-dumitrescu/5438,Freshman,"Cortland Manor, N.Y.",Hendrick Hudson HS,2007-08 Women's Tennis Roster,Ruxandra Dumitrescu,
,Ashley Ebbert,https://cornellbigred.com/sports/womens-tennis/roster/ashley-ebbert/5421,Senior,"Paradise Valley, Ariz.",Saguaro HS,2007-08 Women's Tennis Roster,Ashley Ebbert,
,Elizabeth Googe,https://cornellbigred.com/sports/womens-tennis/roster/elizabeth-googe/5419,Junior,"Knoxville, Tenn.",Webb School of Knoxville,2007-08 Women's Tennis Roster,Elizabeth Googe,
,Tamara John,https://cornellbigred.com/sports/womens-tennis/roster/tamara-john/5417,Junior,"Macedon, NY",Penfield HS,2007-08 Women's Tennis Roster,Tamara John,
,Shayna Miller,https://cornellbigred.com/sports/womens-tennis/roster/shayna-miller/5411,Junior,"Pittsburgh, Pa.",Upper St. Clair HS,2007-08 Women's Tennis Roster,Shayna Miller,
,Melissa Orteza,https://cornellbigred.com/sports/womens-tennis/roster/melissa-orteza/5439,Freshman,"Muntinlupa City, Philippines",De La Salle Zobel School,2007-08 Women's Tennis Roster,Melissa Orteza,
,Weatherly Schwab,https://cornellbigred.com/sports/womens-tennis/roster/weatherly-schwab/5424,Senior,"Ithaca, N.Y.",Ithaca HS,2007-08 Women's Tennis Roster,Weatherly Schwab,
,,,Junior,"Punta Gorda, Fla.",Charlotte HS,2006-07 Women's Tennis Roster,,Dana Cruite
,,,Sophomore,"Greenwood Village, Colo.",Kent Denver Upper School,2006-07 Women's Tennis Roster,,Catherine Duboc
