FirstLast,Year,YearsPlayed,Gender,fuzz_ratio,fuzz_pratio,fuzz_tokensort,fuzz_tokenset,fuzz_wratio,tennis_yn,School_yn,SameName_yn,SameTennis_yn,Decade,prediction
Paul BARTEL,1975.0,2.0,1,17.0,18.0,35.0,35.0,33.0,0.0,0.0,0.0,0.0,1970.0,0.0
Hugo BLACK,1975.0,1.0,1,17.0,20.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1970.0,0.0
Christopher SWENSON,1975.0,4.0,1,44.0,54.0,81.0,81.0,81.0,1.0,0.0,0.0,1.0,1970.0,1.0
Reuben HOLDEN,1976.0,1.0,1,10.0,23.0,23.0,23.0,27.0,0.0,0.0,0.0,0.0,1970.0,0.0
Jonathan THOMAS,1976.0,4.0,1,67.0,67.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,1.0
Christopher WILLIAMS,1976.0,4.0,1,65.0,65.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,0.0
William FELTUS,1976.0,2.0,1,48.0,55.0,88.0,88.0,88.0,0.0,0.0,0.0,0.0,1970.0,1.0
Luis ACOSTA,1976.0,3.0,1,55.0,55.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,1.0
Steven CREMER,1976.0,1.0,1,62.0,62.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,0.0
John SCHOTZ,1977.0,1.0,1,17.0,18.0,17.0,17.0,25.0,0.0,0.0,0.0,0.0,1970.0,0.0
Sverre MUNCK,1977.0,1.0,1,67.0,67.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,0.0
Matthew DOYLE,1978.0,1.0,1,52.0,60.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,1970.0,0.0
Jack COBETTO,1978.0,1.0,1,8.0,8.0,25.0,25.0,24.0,0.0,0.0,0.0,0.0,1970.0,0.0
Richard LUMSDEN,1978.0,1.0,1,60.0,60.0,100.0,100.0,100.0,1.0,0.0,0.0,1.0,1970.0,1.0
James KAUFMAN,1978.0,4.0,1,54.0,54.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1970.0,1.0
Geoffrey TABIN,1978.0,3.0,1,32.0,36.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,1970.0,0.0
Gregory KIM,1979.0,1.0,1,82.0,82.0,100.0,100.0,100.0,1.0,0.0,0.0,1.0,1970.0,1.0
Laurence LEEDS,1979.0,2.0,1,26.0,29.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,1970.0,0.0
Eric SORSCHER,1979.0,1.0,1,15.0,15.0,37.0,37.0,35.0,0.0,0.0,0.0,0.0,1970.0,0.0
Willis HULINGS,1980.0,1.0,1,57.0,57.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Hal FREEMAN,1980.0,1.0,1,21.0,27.0,30.0,30.0,32.0,0.0,0.0,0.0,0.0,1980.0,0.0
David HUSKEY,1980.0,1.0,1,58.0,58.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Dale De La TORRE,1980.0,1.0,1,62.0,62.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
William BRADY,1980.0,3.0,1,43.0,50.0,43.0,78.0,78.0,0.0,0.0,0.0,0.0,1980.0,0.0
James CHUD,1980.0,1.0,1,70.0,70.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
William KERR,1980.0,1.0,1,14.0,17.0,21.0,21.0,29.0,0.0,0.0,0.0,0.0,1980.0,0.0
Todd HILLMAN,1980.0,2.0,1,16.0,17.0,48.0,48.0,46.0,0.0,0.0,0.0,0.0,1980.0,0.0
Andrew FLEMING,1980.0,2.0,1,57.0,57.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
William LAFFER,1980.0,1.0,1,40.0,45.0,48.0,80.0,80.0,0.0,0.0,0.0,0.0,1980.0,0.0
Douglas KELLY,1981.0,1.0,1,54.0,70.0,100.0,100.0,95.0,0.0,0.0,0.0,0.0,1980.0,0.0
Michael SICULAR,1981.0,1.0,1,52.0,53.0,45.0,71.0,71.0,0.0,0.0,0.0,0.0,1980.0,0.0
Steven SORSCHER,1981.0,1.0,1,34.0,36.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,1980.0,0.0
Malcolm WHITMAN,1981.0,1.0,1,20.0,20.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,1.0
John STIEPEL,1981.0,4.0,1,44.0,50.0,92.0,100.0,95.0,1.0,0.0,0.0,1.0,1980.0,1.0
Stewart HUDSON,1981.0,3.0,1,50.0,50.0,100.0,100.0,100.0,1.0,0.0,0.0,1.0,1980.0,1.0
Thomas SIMCIK,1981.0,3.0,1,62.0,62.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Keith RUDMAN,1981.0,3.0,1,42.0,42.0,100.0,100.0,100.0,1.0,0.0,0.0,1.0,1980.0,1.0
James BRODER,1981.0,1.0,1,29.0,33.0,64.0,67.0,64.0,0.0,0.0,0.0,0.0,1980.0,0.0
Steven EPSTEIN,1981.0,2.0,1,51.0,57.0,80.0,100.0,86.0,0.0,0.0,0.0,0.0,1980.0,0.0
Edward LAZARUS,1981.0,2.0,1,33.0,40.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,1980.0,0.0
Francis STEEL,1981.0,2.0,1,62.0,62.0,69.0,70.0,69.0,0.0,0.0,0.0,0.0,1980.0,0.0
Robert GOULD,1981.0,2.0,1,67.0,67.0,100.0,100.0,100.0,1.0,0.0,0.0,1.0,1980.0,1.0
Lewis CHODISH,1981.0,2.0,1,54.0,54.0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,1980.0,0.0
James MURPHY,1981.0,1.0,1,58.0,58.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Michael SIRCULAR,1981.0,1.0,1,21.0,23.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,1980.0,0.0
David GERGER,1982.0,1.0,1,58.0,58.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Hunter REISNER,1982.0,1.0,1,57.0,57.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Clare DRAPER,1982.0,3.0,1,58.0,58.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Alberto FRANCO,1982.0,4.0,1,64.0,64.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Harold WROBEL,1982.0,2.0,1,46.0,46.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Steven ZUCKERMAN,1982.0,2.0,1,45.0,47.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,1980.0,0.0
David LABRIOLA,1982.0,2.0,1,50.0,50.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
Stephen PROTHERO,1982.0,2.0,1,56.0,56.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1980.0,0.0
